
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-07-02 11:51:43 /api/points ........................................................................ ~ 524.49ms
  2026-07-02 11:51:43 /api/points ........................................................................ ~ 518.91ms
  2026-07-02 11:51:52 /dashboard/fire-hydrants ........................................................... ~ 508.00ms
  2026-07-02 11:51:53 /api/locations ........................................................................... ~ 1s
  2026-07-02 11:51:53 /api/users ............................................................................... ~ 1s
  2026-07-02 11:51:54 /api/fire-hydrants ....................................................................... ~ 1s
  2026-07-02 14:43:31 /dashboard/fire-hydrants ........................................................... ~ 513.81ms
  2026-07-02 14:43:32 /api/locations ..................................................................... ~ 513.63ms
  2026-07-02 14:43:32 /api/users ......................................................................... ~ 526.74ms
  2026-07-02 14:43:32 /api/fire-hydrants ....................................................................... ~ 1s
  2026-07-02 14:59:20 /dashboard/fire-hydrants ............................................................. ~ 3.76ms
  2026-07-02 14:59:32 /api/auth/login .......................................................................... ~ 1s
  2026-07-02 14:59:33 /api/fire-hydrants/next-reference .................................................. ~ 502.26ms
  2026-07-02 14:59:33 /api/fire-hydrant-locations .......................................................... ~ 0.33ms
  2026-07-02 14:59:33 /api/points ........................................................................ ~ 496.63ms
  2026-07-02 14:59:34 /api/fire-hydrants ................................................................... ~ 0.24ms
  2026-07-02 14:59:34 /api/fire-hydrants/1 ............................................................... ~ 510.40ms
  2026-07-02 15:06:43 /dashboard/fire-hydrants ............................................................. ~ 3.09ms
  2026-07-02 15:06:43 /api/fire-hydrant-locations .............................................................. ~ 1s
  2026-07-02 15:06:44 /api/users ......................................................................... ~ 506.27ms
  2026-07-02 15:06:44 /api/points ........................................................................ ~ 513.30ms
  2026-07-02 15:06:44 /api/fire-hydrants ................................................................. ~ 513.99ms
  2026-07-02 15:06:45 /api/fire-hydrants/next-reference .................................................. ~ 510.18ms
  2026-07-02 15:37:41 /dashboard/fire-hydrants ................................................................. ~ 1s
  2026-07-02 15:37:41 /api/fire-hydrant-locations .............................................................. ~ 1s
  2026-07-02 15:37:42 /api/users ............................................................................... ~ 1s
  2026-07-02 15:37:43 /api/points .............................................................................. ~ 1s
  2026-07-02 15:37:43 /api/fire-hydrants ....................................................................... ~ 1s
  2026-07-02 16:12:15 /api/fire-hydrants/next-reference ........................................................ ~ 1s
  2026-07-02 16:16:02 /dashboard/fire-hydrants ........................................................... ~ 501.10ms
  2026-07-02 16:16:06 /dashboard/fire-hydrants ........................................................... ~ 509.73ms
  2026-07-02 16:16:07 /api/users ............................................................................... ~ 1s
  2026-07-02 16:16:06 /api/fire-hydrant-locations .............................................................. ~ 2s
  2026-07-02 16:16:07 /api/points .............................................................................. ~ 2s
  2026-07-02 16:16:08 /api/fire-hydrants ....................................................................... ~ 1s
  2026-07-02 16:16:10 /api/fire-hydrants/next-reference ........................................................ ~ 1s
  2026-07-02 16:16:34 /api/auth/login .......................................................................... ~ 1s
  2026-07-02 16:16:35 /api/fire-hydrant-locations ........................................................ ~ 511.08ms
  2026-07-02 16:16:36 /api/points ........................................................................ ~ 505.92ms
  2026-07-02 16:16:36 /api/fire-hydrants ....................................................................... ~ 1s
  2026-07-02 16:16:37 /api/fire-hydrants/2 ............................................................... ~ 517.93ms
  2026-07-02 16:17:42 /api/fire-hydrants ................................................................. ~ 516.99ms
  2026-07-02 16:17:43 /api/fire-hydrants ................................................................. ~ 511.35ms
  2026-07-02 16:33:13 /api/fire-hydrants/next-reference .................................................. ~ 523.74ms
  2026-07-02 16:33:45 /dashboard/fire-hydrants ................................................................. ~ 1s
  2026-07-02 16:33:45 /api/fire-hydrant-locations .............................................................. ~ 1s
  2026-07-02 16:33:45 /api/users ............................................................................... ~ 1s
  2026-07-02 16:33:45 /api/points .............................................................................. ~ 1s
  2026-07-02 16:33:46 /api/fire-hydrants ....................................................................... ~ 2s
  2026-07-02 16:33:52 /api/fire-hydrants/3 ............................................................... ~ 507.71ms
  2026-07-02 16:34:03 /dashboard/fire-hydrants ........................................................... ~ 512.91ms
  2026-07-02 16:34:03 /api/fire-hydrant-locations .............................................................. ~ 1s
  2026-07-02 16:34:04 /api/users ............................................................................... ~ 1s
  2026-07-02 16:34:05 /api/points .............................................................................. ~ 1s
  2026-07-02 16:34:05 /api/fire-hydrants ....................................................................... ~ 1s
  2026-07-02 16:38:15 /dashboard/fire-hydrants ................................................................. ~ 1s
  2026-07-02 16:38:15 /api/fire-hydrant-locations .............................................................. ~ 2s
  2026-07-02 16:38:16 /api/users ............................................................................... ~ 1s
  2026-07-02 16:38:16 /api/points .............................................................................. ~ 1s
  2026-07-02 16:38:17 /api/fire-hydrants ....................................................................... ~ 1s
  2026-07-02 16:38:31 /api/fire-hydrants/3 ............................................................... ~ 503.00ms
  2026-07-02 16:38:38 /api/fire-hydrants/3 ............................................................... ~ 506.73ms
  2026-07-02 16:39:45 /dashboard/fire-hydrants ........................................................... ~ 509.65ms
  2026-07-02 16:39:46 /api/users ......................................................................... ~ 506.96ms
  2026-07-02 16:39:45 /api/fire-hydrant-locations .............................................................. ~ 1s
  2026-07-02 16:39:47 /api/points .............................................................................. ~ 1s
  2026-07-02 16:39:47 /api/fire-hydrants ....................................................................... ~ 1s
  2026-07-02 16:40:07 /api/fire-hydrants/3 ............................................................... ~ 514.75ms
  2026-07-02 16:40:26 /api/fire-hydrants/3 ..................................................................... ~ 1s
  2026-07-02 16:40:54 /dashboard/fire-hydrants ................................................................. ~ 1s
  2026-07-02 16:40:54 /api/fire-hydrant-locations .............................................................. ~ 2s
  2026-07-02 16:40:55 /api/users ............................................................................... ~ 1s
  2026-07-02 16:40:56 /api/points .............................................................................. ~ 1s
  2026-07-02 16:40:56 /api/fire-hydrants ....................................................................... ~ 1s
  2026-07-02 16:44:15 /dashboard/fire-hydrants ................................................................. ~ 1s
  2026-07-02 16:44:16 /api/fire-hydrant-locations .............................................................. ~ 1s
  2026-07-02 16:44:16 /api/users ............................................................................... ~ 1s
  2026-07-02 16:44:17 /api/points .............................................................................. ~ 1s
  2026-07-02 16:44:17 /api/fire-hydrants ....................................................................... ~ 1s
  2026-07-02 16:48:38 /dashboard/fire-hydrants ........................................................... ~ 512.82ms
  2026-07-02 16:48:38 /api/fire-hydrant-locations .............................................................. ~ 1s
  2026-07-02 16:48:39 /api/users ............................................................................... ~ 1s
  2026-07-02 16:48:39 /api/points .............................................................................. ~ 2s
  2026-07-02 16:48:39 /api/fire-hydrants ....................................................................... ~ 3s
  2026-07-02 16:49:40 /api/fire-hydrants/3 ............................................................... ~ 503.16ms
  2026-07-02 16:49:49 /api/fire-hydrants/3 ..................................................................... ~ 1s
  2026-07-02 16:50:20 /dashboard/users ......................................................................... ~ 1s
  2026-07-02 16:50:20 /api/users ............................................................................... ~ 1s
